BPM
29
30
31
33
223
225
149
127
238
238
230
230
223
223
215
215
209
209
202
202
202
202
202
202
202
202
201
201
207
196
202
202
209
123
102
92
88
86
86
89
70
62
53
57
59
61
56
47
42
41
45
